Coherence,Congruence,Instability,Selectivity,Acumen,Verm_stability,Fidelity,Completness,Selectivity,methods,nb_layers,Data
0.28(0.1),0.28(0.02),0.54(0.15),0.65(0.04),0.1(0.11),0.75(0.03),0.51(0.17),0.33(0.13),0.65(0.04),lime,1,FD002
0.28(0.1),0.3(0.05),0.42(0.13),0.62(0.02),0.06(0.05),0.65(0.14),0.46(0.31),0.42(0.19),0.62(0.02),lime,2,FD002
0.25(0.09),0.27(0.04),0.51(0.17),0.69(0.03),0.05(0.05),0.63(0.09),0.76(0.06),0.43(0.26),0.69(0.03),lime,3,FD002
0.3(0.09),0.3(0.04),0.48(0.11),0.65(0.02),0.11(0.01),0.76(0.11),0.69(0.1),0.32(0.28),0.65(0.02),lime,4,FD002
0.28(0.1),0.29(0.02),0.46(0.15),0.83(0.02),0.87(0.05),1.0(0.0),0.88(0.09),0.33(0.16),0.83(0.02),shap,1,FD002
0.29(0.1),0.31(0.05),0.44(0.11),0.83(0.05),0.45(0.02),1.0(0.0),0.91(0.05),0.4(0.38),0.83(0.05),shap,2,FD002
0.25(0.09),0.27(0.04),0.52(0.1),0.84(0.02),0.31(0.13),1.0(0.0),0.94(0.06),0.43(0.25),0.84(0.02),shap,3,FD002
0.3(0.09),0.3(0.04),0.42(0.07),0.95(0.01),0.61(0.18),1.0(0.0),0.96(0.03),0.32(0.29),0.95(0.01),shap,4,FD002
0.42(0.1),0.36(0.06),0.5(0.16),0.64(0.06),0.05(0.02),1.0(0.0),0.85(0.07),0.38(0.24),0.64(0.06),l2x,1,FD002
0.35(0.09),0.31(0.05),0.48(0.16),0.65(0.06),0.03(0.01),1.0(0.0),0.82(0.08),0.21(0.08),0.65(0.06),l2x,2,FD002
0.38(0.09),0.34(0.05),0.48(0.12),0.67(0.03),0.03(0.01),1.0(0.0),0.89(0.07),0.21(0.12),0.67(0.03),l2x,3,FD002
0.36(0.08),0.31(0.05),0.5(0.04),0.61(0.04),0.04(0.01),1.0(0.0),0.93(0.04),0.23(0.21),0.61(0.04),l2x,4,FD002
